timestamp_start,timestamp_end,flow_key,src_ports,dst_ports,packet_count,tcp_flags_pattern,label
2025-01-05 11:21:51.359493,2025-01-05 11:21:51.359498,"('172.31.0.1', '172.31.0.2', '837', '35740', 'TCP')","['35740', '837']","['35740', '837']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359522,2025-01-05 11:21:51.359528,"('172.31.0.1', '172.31.0.2', '4723', '50940', 'TCP')","['50940', '4723']","['50940', '4723']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359554,2025-01-05 11:21:51.359563,"('172.31.0.1', '172.31.0.2', '126', '44962', 'TCP')","['44962', '126']","['44962', '126']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359586,2025-01-05 11:21:51.359592,"('172.31.0.1', '172.31.0.2', '2767', '45278', 'TCP')","['2767', '45278']","['2767', '45278']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359616,2025-01-05 11:21:51.359622,"('172.31.0.1', '172.31.0.2', '2974', '43272', 'TCP')","['43272', '2974']","['43272', '2974']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359732,2025-01-05 11:21:51.359739,"('172.31.0.1', '172.31.0.2', '434', '36694', 'TCP')","['434', '36694']","['434', '36694']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359764,2025-01-05 11:21:51.359770,"('172.31.0.1', '172.31.0.2', '2359', '47116', 'TCP')","['47116', '2359']","['47116', '2359']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359793,2025-01-05 11:21:51.359799,"('172.31.0.1', '172.31.0.2', '4407', '52322', 'TCP')","['4407', '52322']","['4407', '52322']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359823,2025-01-05 11:21:51.359829,"('172.31.0.1', '172.31.0.2', '4504', '35330', 'TCP')","['35330', '4504']","['35330', '4504']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359853,2025-01-05 11:21:51.359859,"('172.31.0.1', '172.31.0.2', '2912', '33388', 'TCP')","['2912', '33388']","['33388', '2912']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359882,2025-01-05 11:21:51.359888,"('172.31.0.1', '172.31.0.2', '714', '60260', 'TCP')","['60260', '714']","['60260', '714']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359911,2025-01-05 11:21:51.359917,"('172.31.0.1', '172.31.0.2', '1423', '58296', 'TCP')","['58296', '1423']","['58296', '1423']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
