timestamp_start,timestamp_end,flow_key,src_ports,dst_ports,packet_count,tcp_flags_pattern,label
2025-01-05 11:23:40.120889,2025-01-05 11:23:40.120924,"('172.31.0.1', '172.31.0.2', '25', '49982', 'TCP')","['49982', '25']","['49982', '25']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:41.124709,2025-01-05 11:23:41.124744,"('172.31.0.1', '172.31.0.2', '26', '43832', 'TCP')","['26', '43832']","['26', '43832']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:42.128062,2025-01-05 11:23:42.128090,"('172.31.0.1', '172.31.0.2', '27', '49300', 'TCP')","['27', '49300']","['49300', '27']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:43.130363,2025-01-05 11:23:43.130391,"('172.31.0.1', '172.31.0.2', '28', '35776', 'TCP')","['28', '35776']","['28', '35776']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:44.133230,2025-01-05 11:23:44.133260,"('172.31.0.1', '172.31.0.2', '29', '37912', 'TCP')","['37912', '29']","['37912', '29']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:45.135761,2025-01-05 11:23:45.135788,"('172.31.0.1', '172.31.0.2', '30', '56974', 'TCP')","['30', '56974']","['30', '56974']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:46.138108,2025-01-05 11:23:46.138130,"('172.31.0.1', '172.31.0.2', '31', '44190', 'TCP')","['44190', '31']","['44190', '31']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:47.140113,2025-01-05 11:23:47.140143,"('172.31.0.1', '172.31.0.2', '32', '52958', 'TCP')","['52958', '32']","['32', '52958']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:48.142527,2025-01-05 11:23:48.142583,"('172.31.0.1', '172.31.0.2', '33', '54882', 'TCP')","['54882', '33']","['33', '54882']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:49.145359,2025-01-05 11:23:49.145379,"('172.31.0.1', '172.31.0.2', '34', '36730', 'TCP')","['36730', '34']","['36730', '34']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:50.147797,2025-01-05 11:23:50.147825,"('172.31.0.1', '172.31.0.2', '35', '47284', 'TCP')","['35', '47284']","['35', '47284']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:51.151350,2025-01-05 11:23:51.151371,"('172.31.0.1', '172.31.0.2', '36', '37796', 'TCP')","['37796', '36']","['37796', '36']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:52.153673,2025-01-05 11:23:52.153692,"('172.31.0.1', '172.31.0.2', '37', '48432', 'TCP')","['48432', '37']","['48432', '37']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:53.156087,2025-01-05 11:23:53.156107,"('172.31.0.1', '172.31.0.2', '38', '44542', 'TCP')","['44542', '38']","['44542', '38']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:54.158877,2025-01-05 11:23:54.158904,"('172.31.0.1', '172.31.0.2', '39', '60106', 'TCP')","['60106', '39']","['60106', '39']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:55.161437,2025-01-05 11:23:55.161459,"('172.31.0.1', '172.31.0.2', '40', '33856', 'TCP')","['40', '33856']","['40', '33856']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:56.164556,2025-01-05 11:23:56.164603,"('172.31.0.1', '172.31.0.2', '41', '44194', 'TCP')","['44194', '41']","['44194', '41']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:57.168153,2025-01-05 11:23:57.168187,"('172.31.0.1', '172.31.0.2', '42', '46998', 'TCP')","['42', '46998']","['42', '46998']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:58.170126,2025-01-05 11:23:58.170151,"('172.31.0.1', '172.31.0.2', '43', '47980', 'TCP')","['47980', '43']","['47980', '43']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:59.172937,2025-01-05 11:23:59.172971,"('172.31.0.1', '172.31.0.2', '44', '38646', 'TCP')","['44', '38646']","['44', '38646']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:24:00.175402,2025-01-05 11:24:00.175431,"('172.31.0.1', '172.31.0.2', '45', '32878', 'TCP')","['45', '32878']","['45', '32878']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:24:01.176768,2025-01-05 11:24:01.176790,"('172.31.0.1', '172.31.0.2', '46', '33400', 'TCP')","['33400', '46']","['33400', '46']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:24:02.179632,2025-01-05 11:24:02.179656,"('172.31.0.1', '172.31.0.2', '47', '58752', 'TCP')","['58752', '47']","['58752', '47']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:24:03.182544,2025-01-05 11:24:03.182574,"('172.31.0.1', '172.31.0.2', '48', '49178', 'TCP')","['49178', '48']","['49178', '48']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:24:04.185858,2025-01-05 11:24:04.185879,"('172.31.0.1', '172.31.0.2', '49', '33594', 'TCP')","['33594', '49']","['33594', '49']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:24:05.188824,2025-01-05 11:24:05.188862,"('172.31.0.1', '172.31.0.2', '50', '33120', 'TCP')","['33120', '50']","['33120', '50']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
