start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,label
2025-01-07 14:08:59.410267,2025-01-07 14:08:59.410267,2025-01-07 14:08:59.410274,2025-01-07 14:08:59.410274,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['143', '43060']","['143', '43060']",1,1,0,1,0,0,1
2025-01-07 14:08:59.410300,2025-01-07 14:08:59.410300,2025-01-07 14:08:59.410308,2025-01-07 14:08:59.410308,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['37108', '139']","['37108', '139']",1,1,0,1,0,0,1
2025-01-07 14:08:59.410334,2025-01-07 14:08:59.410334,2025-01-07 14:08:59.410342,2025-01-07 14:08:59.410342,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['60884', '113']","['60884', '113']",1,1,0,1,0,0,1
2025-01-07 14:08:59.410371,2025-01-07 14:08:59.410371,2025-01-07 14:08:59.410378,2025-01-07 14:08:59.410378,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['37106', '554']","['37106', '554']",1,1,0,1,0,0,1
2025-01-07 14:08:59.410403,2025-01-07 14:08:59.410403,2025-01-07 14:08:59.410412,2025-01-07 14:08:59.410412,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['53130', '445']","['53130', '445']",1,1,0,1,0,0,1
2025-01-07 14:08:59.410438,2025-01-07 14:08:59.410438,2025-01-07 14:08:59.410445,2025-01-07 14:08:59.410445,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['55684', '111']","['55684', '111']",1,1,0,1,0,0,1
2025-01-07 14:08:59.410473,2025-01-07 14:08:59.410473,2025-01-07 14:08:59.410480,2025-01-07 14:08:59.410480,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['42414', '9310']","['42414', '9310']",1,1,0,1,0,0,1
2025-01-07 14:08:59.410506,2025-01-07 14:08:59.410506,2025-01-07 14:08:59.410513,2025-01-07 14:08:59.410513,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['5424', '44410']","['5424', '44410']",1,1,0,1,0,0,1
2025-01-07 14:08:59.410650,2025-01-07 14:08:59.410650,2025-01-07 14:08:59.410657,2025-01-07 14:08:59.410657,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['8682', '56560']","['8682', '56560']",1,1,0,1,0,0,1
2025-01-07 14:08:59.410684,2025-01-07 14:08:59.410684,2025-01-07 14:08:59.410691,2025-01-07 14:08:59.410691,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['33258', '7115']","['33258', '7115']",1,1,0,1,0,0,1
