start_time,end_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,vertical_scan,horizontal_scan,label
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113252,0.0,172.31.0.1,172.31.0.2,1720,52912,0,1,0,1,0,0,0,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113317,6.5e-05,172.31.0.1,172.31.0.2,135,47252,0,1,0,1,0,0,0,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113380,6.3e-05,172.31.0.1,172.31.0.2,53,58788,0,1,0,1,0,0,0,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113448,6.8e-05,172.31.0.1,172.31.0.2,80,39738,0,1,0,1,0,0,0,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113514,6.6e-05,172.31.0.1,172.31.0.2,25,52878,0,1,0,1,0,0,0,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113580,6.6e-05,172.31.0.1,172.31.0.2,143,58510,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113646,6.6e-05,172.31.0.1,172.31.0.2,139,59910,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113711,6.5e-05,172.31.0.1,172.31.0.2,21,50506,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113776,6.5e-05,172.31.0.1,172.31.0.2,1025,34732,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.113842,6.6e-05,172.31.0.1,172.31.0.2,995,33950,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114064,0.000222,172.31.0.1,172.31.0.2,3389,48218,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114131,6.7e-05,172.31.0.1,172.31.0.2,587,42536,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114197,6.6e-05,172.31.0.1,172.31.0.2,445,59640,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114263,6.6e-05,172.31.0.1,172.31.0.2,23,56492,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114328,6.5e-05,172.31.0.1,172.31.0.2,554,37296,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114394,6.6e-05,172.31.0.1,172.31.0.2,110,34980,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114460,6.6e-05,172.31.0.1,172.31.0.2,3306,44116,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114526,6.6e-05,172.31.0.1,172.31.0.2,1723,52964,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114591,6.5e-05,172.31.0.1,172.31.0.2,443,40532,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114658,6.7e-05,172.31.0.1,172.31.0.2,111,46924,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114723,6.5e-05,172.31.0.1,172.31.0.2,22,38064,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114789,6.6e-05,172.31.0.1,172.31.0.2,113,48716,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114850,6.1e-05,172.31.0.1,172.31.0.2,199,34732,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114888,3.8e-05,172.31.0.1,172.31.0.2,993,54872,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114923,3.5e-05,172.31.0.1,172.31.0.2,256,48108,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114954,3.1e-05,172.31.0.1,172.31.0.2,2495,42402,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.114989,3.5e-05,172.31.0.1,172.31.0.2,780,57478,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.115033,4.4e-05,172.31.0.1,172.31.0.2,241,56938,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.115062,2.9e-05,172.31.0.1,172.31.0.2,1080,57662,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.115091,2.9e-05,172.31.0.1,172.31.0.2,2121,46806,0,1,0,1,0,0,1,0,1
