start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH
2025-01-08 13:15:56.377421,2025-01-08 13:15:56.377421,2025-01-08 13:15:56.377426,2025-01-08 13:15:56.377426,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '17']","['52105', '17']",1,1,0,1,0,0
2025-01-08 13:15:56.377434,2025-01-08 13:15:56.377434,2025-01-08 13:15:56.377439,2025-01-08 13:15:56.377439,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '42']","['52105', '42']",1,1,0,1,0,0
2025-01-08 13:15:56.377448,2025-01-08 13:15:56.377448,2025-01-08 13:15:56.377453,2025-01-08 13:15:56.377453,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '43']","['52105', '43']",1,1,0,1,0,0
2025-01-08 13:15:56.377462,2025-01-08 13:15:56.377462,2025-01-08 13:15:56.377467,2025-01-08 13:15:56.377467,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '50']","['52105', '50']",1,1,0,1,0,0
2025-01-08 13:15:56.377475,2025-01-08 13:15:56.377475,2025-01-08 13:15:56.377480,2025-01-08 13:15:56.377480,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '10']","['52105', '10']",1,1,0,1,0,0
2025-01-08 13:15:56.377488,2025-01-08 13:15:56.377488,2025-01-08 13:15:56.377493,2025-01-08 13:15:56.377493,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '3']","['52105', '3']",1,1,0,1,0,0
2025-01-08 13:15:56.377502,2025-01-08 13:15:56.377502,2025-01-08 13:15:56.377508,2025-01-08 13:15:56.377508,6e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '28']","['52105', '28']",1,1,0,1,0,0
2025-01-08 13:15:56.377516,2025-01-08 13:15:56.377516,2025-01-08 13:15:56.377521,2025-01-08 13:15:56.377521,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '35']","['52105', '35']",1,1,0,1,0,0
2025-01-08 13:15:56.377529,2025-01-08 13:15:56.377529,2025-01-08 13:15:56.377534,2025-01-08 13:15:56.377534,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '8']","['52105', '8']",1,1,0,1,0,0
2025-01-08 13:15:56.377544,2025-01-08 13:15:56.377544,2025-01-08 13:15:56.377549,2025-01-08 13:15:56.377549,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '34']","['52105', '34']",1,1,0,1,0,0
2025-01-08 13:15:56.377558,2025-01-08 13:15:56.377558,2025-01-08 13:15:56.377563,2025-01-08 13:15:56.377563,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '14']","['52105', '14']",1,1,0,1,0,0
2025-01-08 13:15:56.377571,2025-01-08 13:15:56.377571,2025-01-08 13:15:56.377576,2025-01-08 13:15:56.377576,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '9']","['52105', '9']",1,1,0,1,0,0
2025-01-08 13:15:56.377871,2025-01-08 13:15:56.377871,2025-01-08 13:15:56.377876,2025-01-08 13:15:56.377876,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '0']","['52105', '0']",1,1,0,1,0,0
2025-01-08 13:15:56.377885,2025-01-08 13:15:56.377885,2025-01-08 13:15:56.377890,2025-01-08 13:15:56.377890,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '48']","['48', '52105']",1,1,0,1,0,0
2025-01-08 13:15:56.377899,2025-01-08 13:15:56.377899,2025-01-08 13:15:56.377904,2025-01-08 13:15:56.377904,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '29']","['52105', '29']",1,1,0,1,0,0
2025-01-08 13:15:56.377913,2025-01-08 13:15:56.377913,2025-01-08 13:15:56.377918,2025-01-08 13:15:56.377918,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '46']","['52105', '46']",1,1,0,1,0,0
2025-01-08 13:15:56.377926,2025-01-08 13:15:56.377926,2025-01-08 13:15:56.377932,2025-01-08 13:15:56.377932,6e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '1']","['52105', '1']",1,1,0,1,0,0
2025-01-08 13:15:56.377940,2025-01-08 13:15:56.377940,2025-01-08 13:15:56.377945,2025-01-08 13:15:56.377945,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '11']","['52105', '11']",1,1,0,1,0,0
2025-01-08 13:15:56.377954,2025-01-08 13:15:56.377954,2025-01-08 13:15:56.377959,2025-01-08 13:15:56.377959,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '49']","['52105', '49']",1,1,0,1,0,0
2025-01-08 13:15:56.377968,2025-01-08 13:15:56.377968,2025-01-08 13:15:56.377973,2025-01-08 13:15:56.377973,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '36']","['52105', '36']",1,1,0,1,0,0
2025-01-08 13:15:56.377982,2025-01-08 13:15:56.377982,2025-01-08 13:15:56.377987,2025-01-08 13:15:56.377987,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '12']","['52105', '12']",1,1,0,1,0,0
2025-01-08 13:15:56.377996,2025-01-08 13:15:56.377996,2025-01-08 13:15:56.378001,2025-01-08 13:15:56.378001,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '32']","['32', '52105']",1,1,0,1,0,0
2025-01-08 13:15:56.378010,2025-01-08 13:15:56.378010,2025-01-08 13:15:56.378015,2025-01-08 13:15:56.378015,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '26']","['52105', '26']",1,1,0,1,0,0
2025-01-08 13:15:56.378023,2025-01-08 13:15:56.378023,2025-01-08 13:15:56.378028,2025-01-08 13:15:56.378028,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '20']","['52105', '20']",1,1,0,1,0,0
2025-01-08 13:15:56.378037,2025-01-08 13:15:56.378037,2025-01-08 13:15:56.378042,2025-01-08 13:15:56.378042,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '2']","['52105', '2']",1,1,0,1,0,0
2025-01-08 13:15:56.378051,2025-01-08 13:15:56.378051,2025-01-08 13:15:56.378056,2025-01-08 13:15:56.378056,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '47']","['52105', '47']",1,1,0,1,0,0
2025-01-08 13:15:56.378065,2025-01-08 13:15:56.378065,2025-01-08 13:15:56.378070,2025-01-08 13:15:56.378070,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '38']","['52105', '38']",1,1,0,1,0,0
2025-01-08 13:15:56.378078,2025-01-08 13:15:56.378078,2025-01-08 13:15:56.378083,2025-01-08 13:15:56.378083,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '19']","['19', '52105']",1,1,0,1,0,0
2025-01-08 13:15:56.378091,2025-01-08 13:15:56.378091,2025-01-08 13:15:56.378096,2025-01-08 13:15:56.378096,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '13']","['52105', '13']",1,1,0,1,0,0
2025-01-08 13:15:56.378105,2025-01-08 13:15:56.378105,2025-01-08 13:15:56.378110,2025-01-08 13:15:56.378110,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '39']","['52105', '39']",1,1,0,1,0,0
2025-01-08 13:15:56.378119,2025-01-08 13:15:56.378119,2025-01-08 13:15:56.378124,2025-01-08 13:15:56.378124,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '41']","['52105', '41']",1,1,0,1,0,0
2025-01-08 13:15:56.378133,2025-01-08 13:15:56.378133,2025-01-08 13:15:56.378137,2025-01-08 13:15:56.378137,4e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '6']","['52105', '6']",1,1,0,1,0,0
2025-01-08 13:15:56.378146,2025-01-08 13:15:56.378146,2025-01-08 13:15:56.378151,2025-01-08 13:15:56.378151,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '45']","['52105', '45']",1,1,0,1,0,0
2025-01-08 13:15:57.600710,2025-01-08 13:15:57.600710,2025-01-08 13:15:57.600735,2025-01-08 13:15:57.600735,2.5e-05,['127.0.0.1'],['127.0.0.1'],"['34011', '22']","['34011', '22']",1,1,0,1,0,0
