start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,label
2025-01-08 13:53:17.301610,2025-01-08 13:53:17.301610,2025-01-08 13:53:17.301667,2025-01-08 13:53:17.301667,5.7e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '587']","['44031', '587']",1,1,0,1,0,0,1
2025-01-08 13:53:18.302364,2025-01-08 13:53:18.302364,2025-01-08 13:53:18.302493,2025-01-08 13:53:18.302493,0.000129,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '135']","['44031', '135']",1,1,0,1,0,0,1
2025-01-08 13:53:19.303534,2025-01-08 13:53:19.303534,2025-01-08 13:53:19.303662,2025-01-08 13:53:19.303662,0.000128,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '80']","['44031', '80']",1,1,0,1,0,0,1
2025-01-08 13:53:20.304847,2025-01-08 13:53:20.304847,2025-01-08 13:53:20.304931,2025-01-08 13:53:20.304931,8.4e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '23']","['44031', '23']",1,1,0,1,0,0,1
2025-01-08 13:53:21.305164,2025-01-08 13:53:21.305164,2025-01-08 13:53:21.305227,2025-01-08 13:53:21.305227,6.3e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '110']","['110', '44031']",1,1,0,1,0,0,1
2025-01-08 13:53:22.306790,2025-01-08 13:53:22.306790,2025-01-08 13:53:22.306875,2025-01-08 13:53:22.306875,8.5e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '8080']","['44031', '8080']",1,1,0,1,0,0,1
2025-01-08 13:53:23.307803,2025-01-08 13:53:23.307803,2025-01-08 13:53:23.307847,2025-01-08 13:53:23.307847,4.4e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '7353']","['44031', '7353']",1,1,0,1,0,0,1
2025-01-08 13:53:24.308953,2025-01-08 13:53:24.308953,2025-01-08 13:53:24.309015,2025-01-08 13:53:24.309015,6.2e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '209']","['44031', '209']",1,1,0,1,0,0,1
2025-01-08 13:53:25.310706,2025-01-08 13:53:25.310706,2025-01-08 13:53:25.310781,2025-01-08 13:53:25.310781,7.5e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '7901']","['44031', '7901']",1,1,0,1,0,0,1
2025-01-08 13:53:26.312578,2025-01-08 13:53:26.312578,2025-01-08 13:53:26.312649,2025-01-08 13:53:26.312649,7.1e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '6917']","['44031', '6917']",1,1,0,1,0,0,1
